aestivating
alarming
attracted to light
calling
copulating
courtship/mating
distraction display
emerging at dusk
feeding
flushing
flying
hibernating
hunting
lactating
laying egg
mating
migrating
migrating east
migrating north
migrating northeast
migrating northwest
migrating south
migrating southeast
migrating southwest
migrating west
moulting
moving east
moving north
moving south
moving west
nest building
parasitized
parasitizing
passing by
resting
singing
social behavior
spawning
sun basking
swarming
swimming
territorial behavior
transporting feed or faeces
