camera trap
casual observation
catch
catch and removed
catch by electrofishing
catch by fishermen
catch by fishing rod
catch by hand
catch by hand and collected
catch by hand and released
catch by net
catch by pod
catch by pole
catch by screen
catch by sheer
catch by shrimp net
catch by trawl net
colour trap
corrugated plate
deep drilling
DNA barcoding
heard
light trap
malaise trap
observation with bat detector
observation with flashlight
observation with hydrophone
pellet examination
pheromones bait
pitfall trap
seen
seen and heard
seen indoors
sheet with light
snorkelling observation
soil sample
sound trap
specimen collected
spotlight
sugar bait
telemetry searching
track bed
unspecified trap
